Date,Year,Month,Sector,Pollutant,Monthly_Ratio,EPD_Monthly_Tonnes
1/1/2001,2001,1,Non-road-transport,CO,0.083333333,3012.5
1/1/2001,2001,1,Non-road-transport,NOx,0.083333333,2935
1/1/2001,2001,1,Non-road-transport,PM10,0.083333333,216.6666667
1/1/2001,2001,1,Non-road-transport,PM25,0.083333333,201.6666667
1/1/2001,2001,1,Non-road-transport,SO2,0.083333333,2384.166667
1/1/2001,2001,1,Other,CO,0.064834978,333.9001349
1/1/2001,2001,1,Other,NOx,0.07306002,863.5694414
1/1/2001,2001,1,Other,PM10,0.064281264,143.9900314
1/1/2001,2001,1,Other,PM25,0.064331566,102.9305056
1/1/2001,2001,1,Other,SO2,0.072349864,196.0681304
1/1/2001,2001,1,Power,CO,0.073593613,207.5339899
1/1/2001,2001,1,Power,NOx,0.073593599,2820.106712
1/1/2001,2001,1,Power,PM10,0.07359361,119.9575851
1/1/2001,2001,1,Power,PM25,0.073593591,51.51551372
1/1/2001,2001,1,Power,SO2,0.073593597,4358.212822
1/1/2001,2001,1,Road-transport,CO,0.079323502,4362.792626
1/1/2001,2001,1,Road-transport,NOx,0.074138219,2950.701111
1/1/2001,2001,1,Road-transport,PM10,0.074773485,201.8884089
1/1/2001,2001,1,Road-transport,PM25,0.074773485,179.4563634
1/1/2001,2001,1,Road-transport,SO2,0.072651316,152.567764
1/2/2001,2001,2,Non-road-transport,CO,0.083333333,3012.5
1/2/2001,2001,2,Non-road-transport,NOx,0.083333333,2935
1/2/2001,2001,2,Non-road-transport,PM10,0.083333333,216.6666667
1/2/2001,2001,2,Non-road-transport,PM25,0.083333333,201.6666667
1/2/2001,2001,2,Non-road-transport,SO2,0.083333333,2384.166667
1/2/2001,2001,2,Other,CO,0.073827777,380.2130526
1/2/2001,2001,2,Other,NOx,0.073788589,872.1811274
1/2/2001,2001,2,Other,PM10,0.071494971,160.148735
1/2/2001,2001,2,Other,PM25,0.071734657,114.7754511
1/2/2001,2001,2,Other,SO2,0.072385758,196.1654035
1/2/2001,2001,2,Power,CO,0.06809077,192.0159706
1/2/2001,2001,2,Power,NOx,0.068090743,2609.23726
1/2/2001,2001,2,Power,PM10,0.068090771,110.987957
1/2/2001,2001,2,Power,PM25,0.068090758,47.66353029
1/2/2001,2001,2,Power,SO2,0.068090785,4032.336316
1/2/2001,2001,2,Road-transport,CO,0.076395965,4201.778097
1/2/2001,2001,2,Road-transport,NOx,0.066546374,2648.545705
1/2/2001,2001,2,Road-transport,PM10,0.070780194,191.1065227
1/2/2001,2001,2,Road-transport,PM25,0.070780194,169.8724646
1/2/2001,2001,2,Road-transport,SO2,0.069406741,145.754156
