DATE,NOx,PM10,SO2,Year,Month,Day,DayOfWeek,Pressure_t,Temp_t,RH_t,Rainfall_t,WindDir_t,WindSp_t,Favorable,ln_PRD_NOx,ln_PRD_PM10,ln_PRD_SO2,ln_NOx,ln_PM10,ln_SO2,ln_PRD_NOx_lag1,ln_PRD_PM10_lag1,ln_PRD_SO2_lag1,Post2013,month_year
2001-01-01,96.5,72.0,11.0,2001,1,1,0,1017.9,16.4,69,0.0,60.0,26.0,1,7.321186849962121,7.276046992663056,7.245663120573936,4.56954300834494,4.276666119016055,2.3978952727983707,,,,0,2001_1
2001-01-02,142.5,66.0,12.5,2001,1,2,1,1016.7,17.9,78,0.0,50.0,26.2,1,7.321186849962121,7.276046992663056,7.245663120573936,4.959341999708705,4.189654742026425,2.5257286443082556,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-03,131.0,51.0,11.0,2001,1,3,2,1017.6,18.3,82,0.0,50.0,24.2,1,7.321186849962121,7.276046992663056,7.245663120573936,4.875197323201151,3.9318256327243257,2.3978952727983707,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-04,88.5,80.0,10.0,2001,1,4,3,1019.6,18.4,80,0.05,70.0,31.3,0,7.321186849962121,7.276046992663056,7.245663120573936,4.483002552013883,4.382026634673881,2.302585092994046,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-05,97.0,44.0,9.0,2001,1,5,4,1019.8,18.6,79,0.05,80.0,33.0,0,7.321186849962121,7.276046992663056,7.245663120573936,4.574710978503383,3.784189633918261,2.1972245773362196,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-06,98.0,29.0,9.0,2001,1,6,5,1017.4,19.0,81,0.0,70.0,31.9,0,7.321186849962121,7.276046992663056,7.245663120573936,4.584967478670572,3.367295829986474,2.1972245773362196,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-07,286.5,95.0,48.0,2001,1,7,6,1014.4,20.1,79,0.0,220.0,4.9,0,7.321186849962121,7.276046992663056,7.245663120573936,5.6577385361547945,4.553876891600541,3.871201010907891,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-08,131.0,56.0,12.0,2001,1,8,0,1014.2,19.6,81,0.0,60.0,27.7,1,7.321186849962121,7.276046992663056,7.245663120573936,4.875197323201151,4.02535169073515,2.4849066497880004,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-09,136.5,73.0,18.0,2001,1,9,1,1015.3,19.0,74,0.0,10.0,22.2,1,7.321186849962121,7.276046992663056,7.245663120573936,4.916324614625014,4.290459441148391,2.8903717578961645,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-10,168.0,60.0,19.5,2001,1,10,2,1015.9,15.8,71,0.0,20.0,20.6,1,7.321186849962121,7.276046992663056,7.245663120573936,5.123963979403259,4.0943445622221,2.970414465569701,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-11,197.5,65.0,18.0,2001,1,11,3,1015.3,16.5,80,0.4,20.0,16.5,0,7.321186849962121,7.276046992663056,7.245663120573936,5.285738584341177,4.174387269895637,2.8903717578961645,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-12,120.5,45.0,10.0,2001,1,12,4,1016.2,18.1,81,0.0,70.0,30.7,0,7.321186849962121,7.276046992663056,7.245663120573936,4.791649752930709,3.8066624897703196,2.302585092994046,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-13,148.0,51.0,19.0,2001,1,13,5,1017.5,17.2,71,0.7,10.0,21.3,1,7.321186849962121,7.276046992663056,7.245663120573936,4.997212273764115,3.9318256327243257,2.9444389791664403,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-14,67.0,60.0,13.5,2001,1,14,6,1021.5,16.5,69,0.0,20.0,29.9,1,7.321186849962121,7.276046992663056,7.245663120573936,4.204692619390966,4.0943445622221,2.6026896854443837,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-15,101.5,100.5,17.5,2001,1,15,0,1024.6,14.7,65,0.0,50.0,31.4,1,7.321186849962121,7.276046992663056,7.245663120573936,4.620058798481842,4.61015772749913,2.8622008809294686,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-16,77.0,89.5,16.0,2001,1,16,1,1025.5,15.3,66,0.05,80.0,32.4,0,7.321186849962121,7.276046992663056,7.245663120573936,4.343805421853684,4.4942386252808095,2.772588722239781,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-17,97.5,58.0,12.0,2001,1,17,2,1023.3,16.2,70,0.0,60.0,35.3,1,7.321186849962121,7.276046992663056,7.245663120573936,4.579852378003801,4.060443010546419,2.4849066497880004,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-18,179.0,47.5,13.0,2001,1,18,3,1020.3,18.4,75,0.0,40.0,23.3,1,7.321186849962121,7.276046992663056,7.245663120573936,5.187385805840755,3.8607297110405954,2.5649493574615367,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-19,153.0,45.0,11.0,2001,1,19,4,1019.7,19.6,75,0.0,50.0,17.3,0,7.321186849962121,7.276046992663056,7.245663120573936,5.030437921392435,3.8066624897703196,2.3978952727983707,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-20,305.0,57.0,24.0,2001,1,20,5,1017.7,20.3,71,0.0,20.0,6.2,0,7.321186849962121,7.276046992663056,7.245663120573936,5.720311776607412,4.04305126783455,3.1780538303479458,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-21,111.5,54.0,9.0,2001,1,21,6,1015.6,18.9,84,0.0,70.0,31.9,0,7.321186849962121,7.276046992663056,7.245663120573936,4.7140245909001735,3.9889840465642745,2.1972245773362196,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-22,119.5,63.0,8.0,2001,1,22,0,1013.5,20.0,84,0.0,40.0,17.3,0,7.321186849962121,7.276046992663056,7.245663120573936,4.783316371371566,4.143134726391533,2.0794415416798357,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-23,77.0,45.0,5.0,2001,1,23,1,1014.8,19.0,92,0.3,70.0,26.3,0,7.321186849962121,7.276046992663056,7.245663120573936,4.343805421853684,3.8066624897703196,1.6094379124341003,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-24,80.0,38.0,5.0,2001,1,24,2,1012.7,18.7,91,0.05,50.0,24.2,1,7.321186849962121,7.276046992663056,7.245663120573936,4.382026634673881,3.6375861597263857,1.6094379124341003,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-25,147.5,44.0,12.5,2001,1,25,3,1008.6,19.6,95,2.3,30.0,13.7,0,7.321186849962121,7.276046992663056,7.245663120573936,4.993828175779875,3.784189633918261,2.5257286443082556,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-26,58.0,14.0,5.0,2001,1,26,4,1013.5,13.7,80,27.3,360.0,34.1,1,7.321186849962121,7.276046992663056,7.245663120573936,4.060443010546419,2.6390573296152584,1.6094379124341003,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-27,74.5,26.0,6.0,2001,1,27,5,1017.4,12.5,80,6.4,10.0,29.4,1,7.321186849962121,7.276046992663056,7.245663120573936,4.310799125385514,3.258096538021482,1.791759469228055,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-28,75.0,26.0,6.0,2001,1,28,6,1020.4,11.2,87,10.2,10.0,28.8,1,7.321186849962121,7.276046992663056,7.245663120573936,4.31748811353631,3.258096538021482,1.791759469228055,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-29,90.0,54.0,11.0,2001,1,29,0,1021.0,13.8,70,0.0,20.0,20.7,1,7.321186849962121,7.276046992663056,7.245663120573936,4.499809670330265,3.9889840465642745,2.3978952727983707,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-30,121.0,64.0,14.0,2001,1,30,1,1018.1,15.8,75,0.0,60.0,26.5,1,7.321186849962121,7.276046992663056,7.245663120573936,4.795790545596741,4.1588830833596715,2.6390573296152584,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-01-31,139.0,47.0,11.0,2001,1,31,2,1015.0,16.9,83,0.0,60.0,26.1,1,7.321186849962121,7.276046992663056,7.245663120573936,4.9344739331306915,3.8501476017100584,2.3978952727983707,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_1
2001-02-01,141.0,62.0,12.0,2001,2,1,3,1014.0,17.3,81,0.05,30.0,19.0,1,7.349966750354373,7.321779746276009,7.297695473032975,4.948759890378168,4.127134385045092,2.4849066497880004,7.321186849962121,7.276046992663056,7.245663120573936,0,2001_2
2001-02-02,96.0,44.0,8.0,2001,2,2,4,1015.4,14.0,82,0.05,50.0,36.8,1,7.349966750354373,7.321779746276009,7.297695473032975,4.564348191467836,3.784189633918261,2.0794415416798357,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-03,123.0,45.0,8.0,2001,2,3,5,1014.4,15.1,91,0.1,60.0,33.3,1,7.349966750354373,7.321779746276009,7.297695473032975,4.812184355372417,3.8066624897703196,2.0794415416798357,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-04,215.0,59.0,17.0,2001,2,4,6,1015.7,15.4,91,0.05,10.0,9.8,0,7.349966750354373,7.321779746276009,7.297695473032975,5.3706380281276624,4.07753744390572,2.833213344056216,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-05,159.0,30.0,12.0,2001,2,5,0,1015.0,17.3,89,0.05,50.0,25.9,1,7.349966750354373,7.321779746276009,7.297695473032975,5.0689042022202315,3.4011973816621555,2.4849066497880004,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-06,194.5,44.0,16.0,2001,2,6,1,1012.8,19.5,87,0.0,40.0,15.3,0,7.349966750354373,7.321779746276009,7.297695473032975,5.270432163058501,3.784189633918261,2.772588722239781,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-07,164.0,53.0,21.5,2001,2,7,2,1014.7,20.0,81,0.0,10.0,17.5,0,7.349966750354373,7.321779746276009,7.297695473032975,5.099866427824199,3.970291913552122,3.068052935133617,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-08,91.0,38.0,10.0,2001,2,8,3,1019.2,15.6,74,0.0,20.0,22.8,1,7.349966750354373,7.321779746276009,7.297695473032975,4.51085950651685,3.6375861597263857,2.302585092994046,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-09,129.5,56.0,17.0,2001,2,9,4,1019.2,16.0,75,0.05,20.0,21.3,1,7.349966750354373,7.321779746276009,7.297695473032975,4.863680881139593,4.02535169073515,2.833213344056216,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-10,120.5,46.0,14.0,2001,2,10,5,1019.0,15.7,76,1.0,10.0,20.7,1,7.349966750354373,7.321779746276009,7.297695473032975,4.791649752930709,3.828641396489095,2.6390573296152584,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
