Year,Month,Day,Pressure_t,Temp_t,RH_t,Rainfall_t,WindDir_t,WindSp_t
2001,1,1,1017.9,16.4,69,0.0,60.0,26.0
2001,1,2,1016.7,17.9,78,0.0,50.0,26.2
2001,1,3,1017.6,18.3,82,0.0,50.0,24.2
2001,1,4,1019.6,18.4,80,0.05,70.0,31.3
2001,1,5,1019.8,18.6,79,0.05,80.0,33.0
2001,1,6,1017.4,19.0,81,0.0,70.0,31.9
2001,1,7,1014.4,20.1,79,0.0,220.0,4.9
2001,1,8,1014.2,19.6,81,0.0,60.0,27.7
2001,1,9,1015.3,19.0,74,0.0,10.0,22.2
2001,1,10,1015.9,15.8,71,0.0,20.0,20.6
2001,1,11,1015.3,16.5,80,0.4,20.0,16.5
2001,1,12,1016.2,18.1,81,0.0,70.0,30.7
2001,1,13,1017.5,17.2,71,0.7,10.0,21.3
2001,1,14,1021.5,16.5,69,0.0,20.0,29.9
2001,1,15,1024.6,14.7,65,0.0,50.0,31.4
2001,1,16,1025.5,15.3,66,0.05,80.0,32.4
2001,1,17,1023.3,16.2,70,0.0,60.0,35.3
2001,1,18,1020.3,18.4,75,0.0,40.0,23.3
2001,1,19,1019.7,19.6,75,0.0,50.0,17.3
2001,1,20,1017.7,20.3,71,0.0,20.0,6.2
2001,1,21,1015.6,18.9,84,0.0,70.0,31.9
2001,1,22,1013.5,20.0,84,0.0,40.0,17.3
2001,1,23,1014.8,19.0,92,0.3,70.0,26.3
2001,1,24,1012.7,18.7,91,0.05,50.0,24.2
2001,1,25,1008.6,19.6,95,2.3,30.0,13.7
2001,1,26,1013.5,13.7,80,27.3,360.0,34.1
2001,1,27,1017.4,12.5,80,6.4,10.0,29.4
2001,1,28,1020.4,11.2,87,10.2,10.0,28.8
2001,1,29,1021.0,13.8,70,0.0,20.0,20.7
2001,1,30,1018.1,15.8,75,0.0,60.0,26.5
2001,1,31,1015.0,16.9,83,0.0,60.0,26.1
2001,2,1,1014.0,17.3,81,0.05,30.0,19.0
2001,2,2,1015.4,14.0,82,0.05,50.0,36.8
2001,2,3,1014.4,15.1,91,0.1,60.0,33.3
2001,2,4,1015.7,15.4,91,0.05,10.0,9.8
2001,2,5,1015.0,17.3,89,0.05,50.0,25.9
2001,2,6,1012.8,19.5,87,0.0,40.0,15.3
2001,2,7,1014.7,20.0,81,0.0,10.0,17.5
2001,2,8,1019.2,15.6,74,0.0,20.0,22.8
2001,2,9,1019.2,16.0,75,0.05,20.0,21.3
2001,2,10,1019.0,15.7,76,1.0,10.0,20.7
2001,2,11,1017.9,17.1,80,0.05,60.0,21.0
2001,2,12,1016.4,19.4,79,0.0,40.0,16.3
2001,2,13,1018.5,17.6,78,0.05,70.0,27.7
2001,2,14,1023.1,13.3,63,0.0,10.0,29.2
2001,2,15,1023.0,15.2,64,0.0,20.0,20.5
2001,2,16,1023.7,16.8,70,0.0,60.0,28.1
2001,2,17,1021.0,16.4,69,0.0,70.0,33.2
2001,2,18,1017.1,19.3,75,0.0,30.0,12.0
2001,2,19,1016.3,20.3,78,0.0,30.0,14.3
2001,2,20,1015.3,19.7,76,0.0,50.0,22.3
2001,2,21,1013.4,20.7,75,0.0,30.0,10.1
2001,2,22,1012.3,21.1,78,0.0,40.0,14.3
2001,2,23,1010.8,21.0,75,0.0,40.0,11.2
2001,2,24,1012.1,21.6,78,0.0,270.0,24.4
2001,2,25,1018.5,15.4,80,8.8,50.0,38.0
2001,2,26,1019.1,14.8,85,0.05,60.0,34.4
2001,2,27,1018.4,18.9,81,0.05,60.0,23.5
2001,2,28,1017.3,18.5,86,1.0,340.0,13.1
2001,3,1,1019.4,17.7,63,0.0,350.0,19.6
2001,3,2,1019.4,18.1,65,0.0,70.0,33.8
2001,3,3,1018.7,19.9,72,0.05,40.0,18.3
2001,3,4,1020.2,19.6,46,0.0,10.0,22.6
2001,3,5,1017.5,19.1,68,0.0,60.0,27.0
2001,3,6,1015.9,20.9,79,0.0,40.0,18.8
2001,3,7,1015.8,21.6,85,0.05,80.0,21.5
2001,3,8,1022.0,16.6,77,0.05,10.0,33.1
2001,3,9,1022.1,16.6,65,0.05,50.0,29.6
2001,3,10,1019.3,18.0,70,0.05,60.0,25.1
2001,3,11,1018.5,18.3,85,2.7,40.0,14.5
2001,3,12,1019.7,18.2,76,1.3,10.0,22.6
2001,3,13,1019.2,18.5,64,0.0,70.0,37.4
2001,3,14,1017.8,20.3,81,0.05,50.0,20.4
2001,3,15,1015.4,22.2,79,0.0,50.0,10.0
2001,3,16,1012.0,21.8,89,0.05,70.0,14.6
2001,3,17,1011.4,22.9,85,0.05,40.0,10.8
2001,3,18,1014.3,21.5,86,0.05,70.0,19.5
2001,3,19,1014.6,20.7,84,0.05,40.0,20.2
2001,3,20,1011.8,23.0,85,0.1,20.0,7.0
2001,3,21,1011.0,22.6,72,0.0,360.0,8.7
2001,3,22,1010.2,22.5,84,0.0,40.0,12.4
2001,3,23,1009.5,24.4,84,0.2,190.0,13.3
2001,3,24,1007.9,25.5,81,0.05,170.0,9.2
2001,3,25,1006.4,23.7,87,46.2,200.0,21.3
2001,3,26,1008.3,20.1,82,0.05,70.0,30.0
2001,3,27,1007.5,19.8,89,5.4,50.0,23.0
2001,3,28,1010.8,21.0,79,0.05,60.0,21.7
2001,3,29,1013.9,19.9,71,0.6,70.0,27.5
2001,3,30,1015.1,20.4,75,0.0,70.0,24.5
2001,3,31,1016.5,21.9,81,0.05,60.0,18.1
2001,4,1,1017.1,20.4,82,0.05,80.0,39.3
2001,4,2,1012.6,21.9,83,0.05,50.0,16.9
2001,4,3,1010.3,24.0,81,0.0,230.0,6.8
2001,4,4,1012.2,20.7,93,41.3,70.0,34.3
2001,4,5,1013.6,19.9,89,17.9,60.0,29.8
2001,4,6,1013.3,20.2,92,5.0,50.0,24.3
2001,4,7,1011.9,20.8,92,0.2,40.0,14.1
2001,4,8,1006.3,24.3,90,0.1,210.0,22.1
2001,4,9,1008.7,23.1,95,46.6,40.0,18.5
